Training Period,Testing Period,Training Error,Testing Error,Training Size,Testing Size
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
1,2,254,261,19071,22263
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
2,3,219,329,22263,21465
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
3,4,203,252,21465,21604
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
4,5,252,290,21604,22130
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
5,6,289,192,22130,20763
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
6,7,167,104,20763,17474
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
7,8,91,211,17474,21612
8,9,211,302,21612,22158
8,9,211,302,21612,22158
8,9,211,302,21612,22158
