Splitting Approach,Metric,Performance Value
Time-based 50%/50%,AUC,0.8914301187831872
Time-based 50%/50%,F-1,0.24515266324938714
Time-based 50%/50%,MCC,0.32843402569527325
Time-based 60%/40%,AUC,0.8866189874325258
Time-based 60%/40%,F-1,0.20885051268213708
Time-based 60%/40%,MCC,0.29658788872127806
Time-based 70%/30%,AUC,0.8811320100634381
Time-based 70%/30%,F-1,0.21114106019766396
Time-based 70%/30%,MCC,0.2959134744495878
Time-based 80%/20%,AUC,0.9034860307274981
Time-based 80%/20%,F-1,0.2018348623853211
Time-based 80%/20%,MCC,0.28987961595464223
Time-based 90%/10%,AUC,0.9084717748088167
Time-based 90%/10%,F-1,0.19458762886597938
Time-based 90%/10%,MCC,0.28934715377936576
Random 90%/10%,AUC,0.9700560200325218
Random 90%/10%,F-1,0.27975830815709973
Random 90%/10%,MCC,0.37800361757182954
Random 80%/20%,AUC,0.9696229341230461
Random 80%/20%,F-1,0.2474857892435505
Random 80%/20%,MCC,0.3512988850815691
Random 70%/30%,AUC,0.9589064894518959
Random 70%/30%,F-1,0.2513121333744983
Random 70%/30%,MCC,0.35013119056561465
Random 60%/40%,AUC,0.9646267218649723
Random 60%/40%,F-1,0.20363334124910948
Random 60%/40%,MCC,0.3114547257285346
Random 50%/50%,AUC,0.9597820055083793
Random 50%/50%,F-1,0.20580036191128281
Random 50%/50%,MCC,0.3142687949955315
Time-based 50%/50%,AUC,0.8930795107450034
Time-based 50%/50%,F-1,0.2225979709568331
Time-based 50%/50%,MCC,0.312252062471669
Time-based 60%/40%,AUC,0.8949884970159562
Time-based 60%/40%,F-1,0.2407996365288505
Time-based 60%/40%,MCC,0.32625273005324334
Time-based 70%/30%,AUC,0.8846249131178099
Time-based 70%/30%,F-1,0.16773464003015454
Time-based 70%/30%,MCC,0.2529544742225478
Time-based 80%/20%,AUC,0.8905844762985339
Time-based 80%/20%,F-1,0.21077844311377247
Time-based 80%/20%,MCC,0.2973337919317228
Time-based 90%/10%,AUC,0.9275356350092829
Time-based 90%/10%,F-1,0.2090395480225989
Time-based 90%/10%,MCC,0.2990840123964149
Random 90%/10%,AUC,0.9723234145968288
Random 90%/10%,F-1,0.2368283776734481
Random 90%/10%,MCC,0.3426837461224184
Random 80%/20%,AUC,0.9692056789262599
Random 80%/20%,F-1,0.21286464054680826
Random 80%/20%,MCC,0.3230495651013767
Random 70%/30%,AUC,0.9677520605085751
Random 70%/30%,F-1,0.26513845217567705
Random 70%/30%,MCC,0.36470263171833717
Random 60%/40%,AUC,0.9667916281253686
Random 60%/40%,F-1,0.25664568678267313
Random 60%/40%,MCC,0.35668444267257854
Random 50%/50%,AUC,0.9654464964106194
Random 50%/50%,F-1,0.2708952331740085
Random 50%/50%,MCC,0.36621176094526037
Time-based 50%/50%,AUC,0.8851045603709976
Time-based 50%/50%,F-1,0.21578382596819823
Time-based 50%/50%,MCC,0.3051065662760824
Time-based 60%/40%,AUC,0.902371465775183
Time-based 60%/40%,F-1,0.21858382311782815
Time-based 60%/40%,MCC,0.30578467856491337
Time-based 70%/30%,AUC,0.8840534934682189
Time-based 70%/30%,F-1,0.21068973164781546
Time-based 70%/30%,MCC,0.2968372260456263
Time-based 80%/20%,AUC,0.9089583268048851
Time-based 80%/20%,F-1,0.18468932372124958
Time-based 80%/20%,MCC,0.27756105475992526
Time-based 90%/10%,AUC,0.927051840789513
Time-based 90%/10%,F-1,0.20153953813855843
Time-based 90%/10%,MCC,0.28943254524257295
Random 90%/10%,AUC,0.9670757757504681
Random 90%/10%,F-1,0.290632240979808
Random 90%/10%,MCC,0.3871556377884183
Random 80%/20%,AUC,0.9613113495861995
Random 80%/20%,F-1,0.2735938989513823
Random 80%/20%,MCC,0.36922767049052646
Random 70%/30%,AUC,0.96054515495017
Random 70%/30%,F-1,0.26460516758327285
Random 70%/30%,MCC,0.36175974419049545
Random 60%/40%,AUC,0.9619617893417453
Random 60%/40%,F-1,0.2532789274264063
Random 60%/40%,MCC,0.3537547882838675
Random 50%/50%,AUC,0.9658242114882399
Random 50%/50%,F-1,0.21843727888405942
Random 50%/50%,MCC,0.3249368599884097
Time-based 50%/50%,AUC,0.8833562344023791
Time-based 50%/50%,F-1,0.216829122737219
Time-based 50%/50%,MCC,0.3041333510067915
Time-based 60%/40%,AUC,0.915011225842927
Time-based 60%/40%,F-1,0.22890723380439348
Time-based 60%/40%,MCC,0.32028780217181274
Time-based 70%/30%,AUC,0.8912407669420599
Time-based 70%/30%,F-1,0.1693822739480752
Time-based 70%/30%,MCC,0.26115716008958845
Time-based 80%/20%,AUC,0.9193971361141773
Time-based 80%/20%,F-1,0.2005965697240865
Time-based 80%/20%,MCC,0.2911272081491669
Time-based 90%/10%,AUC,0.9027944369443126
Time-based 90%/10%,F-1,0.1989247311827957
Time-based 90%/10%,MCC,0.29057204038383977
Random 90%/10%,AUC,0.9714964842434408
Random 90%/10%,F-1,0.20766182298546895
Random 90%/10%,MCC,0.31716946998048906
Random 80%/20%,AUC,0.9705839554290605
Random 80%/20%,F-1,0.22689844464775843
Random 80%/20%,MCC,0.33323389322609154
Random 70%/30%,AUC,0.9652024063745605
Random 70%/30%,F-1,0.21419310225602903
Random 70%/30%,MCC,0.32062244762228814
Random 60%/40%,AUC,0.9665193330803972
Random 60%/40%,F-1,0.22088272721184113
Random 60%/40%,MCC,0.3272679877275014
Random 50%/50%,AUC,0.9639879507232993
Random 50%/50%,F-1,0.2447486429077177
Random 50%/50%,MCC,0.34381174453886887
Time-based 50%/50%,AUC,0.8934981306115046
Time-based 50%/50%,F-1,0.24022408963585434
Time-based 50%/50%,MCC,0.3211072884648341
Time-based 60%/40%,AUC,0.915170345802189
Time-based 60%/40%,F-1,0.19603984749723283
Time-based 60%/40%,MCC,0.28939840059200356
Time-based 70%/30%,AUC,0.8911486020795636
Time-based 70%/30%,F-1,0.19959100204498978
Time-based 70%/30%,MCC,0.29086393013578465
Time-based 80%/20%,AUC,0.8959542467641611
Time-based 80%/20%,F-1,0.21573398215733983
Time-based 80%/20%,MCC,0.30237026736032246
Time-based 90%/10%,AUC,0.9183277868475785
Time-based 90%/10%,F-1,0.19865771812080538
Time-based 90%/10%,MCC,0.2903458182632473
Random 90%/10%,AUC,0.973139493022582
Random 90%/10%,F-1,0.2289783620925774
Random 90%/10%,MCC,0.33854074455203764
Random 80%/20%,AUC,0.9702902361845656
Random 80%/20%,F-1,0.16888297872340424
Random 80%/20%,MCC,0.2830656582193225
Random 70%/30%,AUC,0.9627594045503843
Random 70%/30%,F-1,0.27026455026455026
Random 70%/30%,MCC,0.36437554794901517
Random 60%/40%,AUC,0.9650881190078306
Random 60%/40%,F-1,0.22000635122261036
Random 60%/40%,MCC,0.3267353316423476
Random 50%/50%,AUC,0.9651344059707626
Random 50%/50%,F-1,0.2429711905588337
Random 50%/50%,MCC,0.3455086805355949
Time-based 50%/50%,AUC,0.9063633824927182
Time-based 50%/50%,F-1,0.23105537251567645
Time-based 50%/50%,MCC,0.31546161866271716
Time-based 60%/40%,AUC,0.9093088050390241
Time-based 60%/40%,F-1,0.19346214606878112
Time-based 60%/40%,MCC,0.2870404731441423
Time-based 70%/30%,AUC,0.8863962348485505
Time-based 70%/30%,F-1,0.2020287404902789
Time-based 70%/30%,MCC,0.2903864804953488
Time-based 80%/20%,AUC,0.9164593362806999
Time-based 80%/20%,F-1,0.19674556213017752
Time-based 80%/20%,MCC,0.2865103749741458
Time-based 90%/10%,AUC,0.908588332982315
Time-based 90%/10%,F-1,0.19592373438527286
Time-based 90%/10%,MCC,0.28884882139686086
Random 90%/10%,AUC,0.9614207701865165
Random 90%/10%,F-1,0.2552811663195477
Random 90%/10%,MCC,0.35461990492314577
Random 80%/20%,AUC,0.9623053338233547
Random 80%/20%,F-1,0.2469545957918051
Random 80%/20%,MCC,0.34914726792719003
Random 70%/30%,AUC,0.9658131593239776
Random 70%/30%,F-1,0.2588950836289914
Random 70%/30%,MCC,0.3583868519222365
Random 60%/40%,AUC,0.9655929692148115
Random 60%/40%,F-1,0.23597678916827855
Random 60%/40%,MCC,0.33988134689811256
Random 50%/50%,AUC,0.9608378162263603
Random 50%/50%,F-1,0.22081656124209317
Random 50%/50%,MCC,0.32572250134408015
Time-based 50%/50%,AUC,0.8902218262382049
Time-based 50%/50%,F-1,0.247616859997703
Time-based 50%/50%,MCC,0.3277719404373959
Time-based 60%/40%,AUC,0.8983258857845152
Time-based 60%/40%,F-1,0.2123869923087303
Time-based 60%/40%,MCC,0.301608777106895
Time-based 70%/30%,AUC,0.8911408886071007
Time-based 70%/30%,F-1,0.20934332304980166
Time-based 70%/30%,MCC,0.29572044778025075
Time-based 80%/20%,AUC,0.9062035591678915
Time-based 80%/20%,F-1,0.2112621359223301
Time-based 80%/20%,MCC,0.3014525526315611
Time-based 90%/10%,AUC,0.9201331230137281
Time-based 90%/10%,F-1,0.21329437545653762
Time-based 90%/10%,MCC,0.3009279822691218
Random 90%/10%,AUC,0.9618061867468647
Random 90%/10%,F-1,0.19782870928829913
Random 90%/10%,MCC,0.3072998979056152
Random 80%/20%,AUC,0.9676905035825112
Random 80%/20%,F-1,0.26779661016949147
Random 80%/20%,MCC,0.36870496216776305
Random 70%/30%,AUC,0.9625061953822028
Random 70%/30%,F-1,0.27754237288135597
Random 70%/30%,MCC,0.37127290356487425
Random 60%/40%,AUC,0.9632204651497667
Random 60%/40%,F-1,0.2168357760240511
Random 60%/40%,MCC,0.32372152607288834
Random 50%/50%,AUC,0.965286177041358
Random 50%/50%,F-1,0.25906482724942015
Random 50%/50%,MCC,0.3569036385444419
Time-based 50%/50%,AUC,0.9095721604336255
Time-based 50%/50%,F-1,0.2173614516920059
Time-based 50%/50%,MCC,0.30664647572456044
Time-based 60%/40%,AUC,0.9140468340517294
Time-based 60%/40%,F-1,0.20923315660157765
Time-based 60%/40%,MCC,0.3024523782810361
Time-based 70%/30%,AUC,0.8875757809416984
Time-based 70%/30%,F-1,0.22512467347423415
Time-based 70%/30%,MCC,0.30844215175611495
Time-based 80%/20%,AUC,0.90247084541753
Time-based 80%/20%,F-1,0.22560975609756098
Time-based 80%/20%,MCC,0.30713591529923256
Time-based 90%/10%,AUC,0.9208000224855427
Time-based 90%/10%,F-1,0.18924438393464943
Time-based 90%/10%,MCC,0.27490184258784334
Random 90%/10%,AUC,0.9643355528947876
Random 90%/10%,F-1,0.262639527248851
Random 90%/10%,MCC,0.3608608105386029
Random 80%/20%,AUC,0.9605393317993357
Random 80%/20%,F-1,0.23421926910299
Random 80%/20%,MCC,0.3366383290960303
Random 70%/30%,AUC,0.9594396630240892
Random 70%/30%,F-1,0.25215744053883393
Random 70%/30%,MCC,0.3494773230930179
Random 60%/40%,AUC,0.9667214258878335
Random 60%/40%,F-1,0.20527655635269615
Random 60%/40%,MCC,0.3159606759380544
Random 50%/50%,AUC,0.9625747606247647
Random 50%/50%,F-1,0.2737374409475015
Random 50%/50%,MCC,0.36804681465710787
Time-based 50%/50%,AUC,0.8970113951063893
Time-based 50%/50%,F-1,0.18323249783923937
Time-based 50%/50%,MCC,0.2724709066646767
Time-based 60%/40%,AUC,0.9163660082510587
Time-based 60%/40%,F-1,0.18273204512453925
Time-based 60%/40%,MCC,0.28106917895341854
Time-based 70%/30%,AUC,0.8919204795914023
Time-based 70%/30%,F-1,0.20911190426201973
Time-based 70%/30%,MCC,0.3014191468002286
Time-based 80%/20%,AUC,0.9000142694884149
Time-based 80%/20%,F-1,0.19829589465530592
