Splitting Approach,Metric,Performance Value
Oracle,AUC,0.9561674778100867
Oracle,F-1,0.6094808126410837
Oracle,MCC,0.606097708801678
Random 90%/10%,AUC,0.9833973829840039
Random 90%/10%,F-1,0.6200787401574803
Random 90%/10%,MCC,0.6268595788079216
Random 80%/20%,AUC,0.9809345231302052
Random 80%/20%,F-1,0.6153461634591353
Random 80%/20%,MCC,0.6200311004933811
Random 70%/30%,AUC,0.9812122090887243
Random 70%/30%,F-1,0.6175755470649532
Random 70%/30%,MCC,0.6216299133578564
Random 60%/40%,AUC,0.9814611010883347
Random 60%/40%,F-1,0.5965127701375247
Random 60%/40%,MCC,0.6021045783443306
Random 50%/50%,AUC,0.977295851693976
Random 50%/50%,F-1,0.6009962386906577
Random 50%/50%,MCC,0.6024481727713985
Oracle,AUC,0.9761064045853638
Oracle,F-1,0.54337899543379
Oracle,MCC,0.5427565223863493
Random 90%/10%,AUC,0.9813804349232416
Random 90%/10%,F-1,0.6218074656188606
Random 90%/10%,MCC,0.6254814353069577
Random 80%/20%,AUC,0.9806347792910045
Random 80%/20%,F-1,0.613420130195293
Random 80%/20%,MCC,0.618182427515299
Random 70%/30%,AUC,0.9808216393701217
Random 70%/30%,F-1,0.6223997337327343
Random 70%/30%,MCC,0.6263476849757242
Random 60%/40%,AUC,0.9792784530570492
Random 60%/40%,F-1,0.6156423141347765
Random 60%/40%,MCC,0.617103885829121
Random 50%/50%,AUC,0.9795120016983394
Random 50%/50%,F-1,0.5995726060852753
Random 50%/50%,MCC,0.6036243856940111
Oracle,AUC,0.9779077505725267
Oracle,F-1,0.6
Oracle,MCC,0.5969151337714077
Random 90%/10%,AUC,0.9822279558652179
Random 90%/10%,F-1,0.6255684689236988
Random 90%/10%,MCC,0.6269281347483809
Random 80%/20%,AUC,0.9807522552666647
Random 80%/20%,F-1,0.617669267556003
Random 80%/20%,MCC,0.6232669289863387
Random 70%/30%,AUC,0.9802791620139045
Random 70%/30%,F-1,0.6165048543689321
Random 70%/30%,MCC,0.6184907444082807
Random 60%/40%,AUC,0.9805784838032331
Random 60%/40%,F-1,0.6015491663384536
Random 60%/40%,MCC,0.6044825351243561
Random 50%/50%,AUC,0.9777095040865377
Random 50%/50%,F-1,0.5898711052471329
Random 50%/50%,MCC,0.592322387922263
Oracle,AUC,0.9686493783692569
Oracle,F-1,0.5783132530120482
Oracle,MCC,0.5759597311044341
Random 90%/10%,AUC,0.977499548582203
Random 90%/10%,F-1,0.6143001007049345
Random 90%/10%,MCC,0.617572509221122
Random 80%/20%,AUC,0.9821139353462482
Random 80%/20%,F-1,0.6245039682539683
Random 80%/20%,MCC,0.6303793413522825
Random 70%/30%,AUC,0.981421546490148
Random 70%/30%,F-1,0.6087681280213368
Random 70%/30%,MCC,0.6115289291723216
Random 60%/40%,AUC,0.9818588854996667
Random 60%/40%,F-1,0.6165413533834587
Random 60%/40%,MCC,0.6192356997086564
Random 50%/50%,AUC,0.9772932839628714
Random 50%/50%,F-1,0.5990475225453441
Random 50%/50%,MCC,0.6016746806817822
Oracle,AUC,0.9742079661487868
Oracle,F-1,0.5854700854700855
Oracle,MCC,0.5818723112253793
Random 90%/10%,AUC,0.9801681379069925
Random 90%/10%,F-1,0.6089676746611054
Random 90%/10%,MCC,0.6142331452199657
Random 80%/20%,AUC,0.9836424903021652
Random 80%/20%,F-1,0.6348088531187123
Random 80%/20%,MCC,0.638812600804463
Random 70%/30%,AUC,0.9818897050203197
Random 70%/30%,F-1,0.6118857901726427
Random 70%/30%,MCC,0.6166856715486616
Random 60%/40%,AUC,0.9776736595457611
Random 60%/40%,F-1,0.6094154164511123
Random 60%/40%,MCC,0.6120945667310853
Random 50%/50%,AUC,0.9770162592102755
Random 50%/50%,F-1,0.6044791452640229
Random 50%/50%,MCC,0.6069484276435576
Oracle,AUC,0.9802240101198153
Oracle,F-1,0.582441113490364
Oracle,MCC,0.5794937580150007
Random 90%/10%,AUC,0.9816781189570375
Random 90%/10%,F-1,0.6195704057279237
Random 90%/10%,MCC,0.6246787182773171
Random 80%/20%,AUC,0.9825873006670768
Random 80%/20%,F-1,0.6221305132834667
Random 80%/20%,MCC,0.6246131046813914
Random 70%/30%,AUC,0.9845665910016128
Random 70%/30%,F-1,0.6232664382444119
Random 70%/30%,MCC,0.6297030720630319
Random 60%/40%,AUC,0.9798906143524464
Random 60%/40%,F-1,0.6091939386221826
Random 60%/40%,MCC,0.6119290147799156
Random 50%/50%,AUC,0.9777001021743004
Random 50%/50%,F-1,0.5940307755860788
Random 50%/50%,MCC,0.5961049566001416
Oracle,AUC,0.9741955956449584
Oracle,F-1,0.5936739659367397
Oracle,MCC,0.5905408606679784
Random 90%/10%,AUC,0.9805989621615265
Random 90%/10%,F-1,0.6215098241985522
Random 90%/10%,MCC,0.6265687694685148
Random 80%/20%,AUC,0.9813925525757445
Random 80%/20%,F-1,0.6144089294774226
Random 80%/20%,MCC,0.618710939837419
Random 70%/30%,AUC,0.9802498456191748
Random 70%/30%,F-1,0.6178972439605308
Random 70%/30%,MCC,0.6211207987785503
Random 60%/40%,AUC,0.9799590171690149
Random 60%/40%,F-1,0.6022597435571918
Random 60%/40%,MCC,0.6059081503522785
Random 50%/50%,AUC,0.9796283023655719
Random 50%/50%,F-1,0.6102774922918807
Random 50%/50%,MCC,0.6120148916371697
Oracle,AUC,0.9724822019178765
Oracle,F-1,0.5987261146496816
Oracle,MCC,0.5966258784356506
Random 90%/10%,AUC,0.9804148438545246
Random 90%/10%,F-1,0.6077630234933606
Random 90%/10%,MCC,0.6127752404619986
Random 80%/20%,AUC,0.9840704450618425
Random 80%/20%,F-1,0.6075753671734089
Random 80%/20%,MCC,0.6141379078079475
Random 70%/30%,AUC,0.9822035033787905
Random 70%/30%,F-1,0.618757211142245
Random 70%/30%,MCC,0.6232411113100637
Random 60%/40%,AUC,0.9807096753622897
Random 60%/40%,F-1,0.6097870182555781
Random 60%/40%,MCC,0.6124187037047368
Random 50%/50%,AUC,0.9767570855049953
Random 50%/50%,F-1,0.6011189390799835
Random 50%/50%,MCC,0.6026051071904085
Oracle,AUC,0.9775952838846331
Oracle,F-1,0.6067415730337079
Oracle,MCC,0.6060609512024601
Random 90%/10%,AUC,0.9802936748500629
Random 90%/10%,F-1,0.6256410256410256
Random 90%/10%,MCC,0.6293778390235816
Random 80%/20%,AUC,0.9795635567951769
Random 80%/20%,F-1,0.61150512214342
Random 80%/20%,MCC,0.6139305943384872
Random 70%/30%,AUC,0.9799872514295592
Random 70%/30%,F-1,0.6142072866411579
Random 70%/30%,MCC,0.6178841683884705
Random 60%/40%,AUC,0.9806451531423028
Random 60%/40%,F-1,0.6130496821896485
Random 60%/40%,MCC,0.6148995210570025
Random 50%/50%,AUC,0.9779203587134877
Random 50%/50%,F-1,0.6097711811997527
Random 50%/50%,MCC,0.6108321901071151
Oracle,AUC,0.9733123023879853
Oracle,F-1,0.5726315789473684
Oracle,MCC,0.5704228092662921
Random 90%/10%,AUC,0.9815290634891302
Random 90%/10%,F-1,0.6283095723014257
Random 90%/10%,MCC,0.6313697645687618
Random 80%/20%,AUC,0.9772453508772411
Random 80%/20%,F-1,0.6135843296871025
Random 80%/20%,MCC,0.6167797031273451
Random 70%/30%,AUC,0.9827776219044647
Random 70%/30%,F-1,0.6203580901856764
Random 70%/30%,MCC,0.6255324704515699
Random 60%/40%,AUC,0.9790710447213029
Random 60%/40%,F-1,0.6143757232866143
Random 60%/40%,MCC,0.616337346041253
Random 50%/50%,AUC,0.980989709114969
Random 50%/50%,F-1,0.5988487495037714
Random 50%/50%,MCC,0.6032481586376297

Time-based 50%/50%,AUC,0.9505976296323416
Time-based 50%/50%,F-1,0.5091034008931639
Time-based 50%/50%,MCC,0.5036055169777582
Time-based 60%/40%,AUC,0.9556789230113111
Time-based 60%/40%,F-1,0.5224130071417719
Time-based 60%/40%,MCC,0.5169200292650539
Time-based 70%/30%,AUC,0.9409385916895672
Time-based 70%/30%,F-1,0.47418149857174247
Time-based 70%/30%,MCC,0.470562977825867
Time-based 80%/20%,AUC,0.9436914641210844
Time-based 80%/20%,F-1,0.461133069828722
Time-based 80%/20%,MCC,0.4562704019221413
Time-based 90%/10%,AUC,0.9666264151332356
Time-based 90%/10%,F-1,0.5288399222294231
Time-based 90%/10%,MCC,0.5306086576615974
Random 90%/10%,AUC,0.9827380317543284
Random 90%/10%,F-1,0.6012269938650308
Random 90%/10%,MCC,0.6047112374080825
Random 80%/20%,AUC,0.9832078320273329
Random 80%/20%,F-1,0.6321511778410561
Random 80%/20%,MCC,0.6358795407230133
Random 70%/30%,AUC,0.9833301119682567
Random 70%/30%,F-1,0.6136857955496068
Random 70%/30%,MCC,0.6176533571705446
Random 60%/40%,AUC,0.9779751693911066
Random 60%/40%,F-1,0.5921731470995345
Random 60%/40%,MCC,0.5969300924514409
Random 50%/50%,AUC,0.9791092094162236
Random 50%/50%,F-1,0.6087583719732096
Random 50%/50%,MCC,0.611280947884809
Time-based 50%/50%,AUC,0.9504515317451274
Time-based 50%/50%,F-1,0.5049413927832681
Time-based 50%/50%,MCC,0.4992726912489784
Time-based 60%/40%,AUC,0.9526465862349841
Time-based 60%/40%,F-1,0.5065877128053294
Time-based 60%/40%,MCC,0.5015650764638472
Time-based 70%/30%,AUC,0.9455862854517866
Time-based 70%/30%,F-1,0.472885032537961
Time-based 70%/30%,MCC,0.4698024254443966
Time-based 80%/20%,AUC,0.9469950160793794
Time-based 80%/20%,F-1,0.4610492845786963
Time-based 80%/20%,MCC,0.45750536732961006
Time-based 90%/10%,AUC,0.9595266941044575
Time-based 90%/10%,F-1,0.5316622691292875
Time-based 90%/10%,MCC,0.5322637915104298
Random 90%/10%,AUC,0.9834734296633435
Random 90%/10%,F-1,0.6083086053412463
Random 90%/10%,MCC,0.6124293529024993
Random 80%/20%,AUC,0.9789907123302138
Random 80%/20%,F-1,0.6278544542032622
Random 80%/20%,MCC,0.6323288495660814
Random 70%/30%,AUC,0.9793247343102588
Random 70%/30%,F-1,0.6198179979777553
Random 70%/30%,MCC,0.6237180239329371
Random 60%/40%,AUC,0.9791314518157562
Random 60%/40%,F-1,0.6096802289411472
Random 60%/40%,MCC,0.613327267572513
Random 50%/50%,AUC,0.9787116177705439
Random 50%/50%,F-1,0.6010143702451394
Random 50%/50%,MCC,0.6016587846689195
Time-based 50%/50%,AUC,0.950743798989571
Time-based 50%/50%,F-1,0.4730098718756564
Time-based 50%/50%,MCC,0.47057048336620655
Time-based 60%/40%,AUC,0.9558091281518529
Time-based 60%/40%,F-1,0.5081129807692308
Time-based 60%/40%,MCC,0.5026789530101109
Time-based 70%/30%,AUC,0.9455764173776429
Time-based 70%/30%,F-1,0.4726486486486487
Time-based 70%/30%,MCC,0.46971165885225397
Time-based 80%/20%,AUC,0.9425825747376958
