Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,CART,4,3,0.05660520525077775,0.7249757045675413,0.9927711720069946,0.10501126126126126,0.8589518101368103,0.20129757360223288,0.007228827993005387,0.49362247600220144,0.4076462099328637
Updated Model,CART,4,3,0.0491290437255599,0.6715257531584062,0.9922049630827233,0.09155956009010202,0.8319592066947468,0.18024727032351326,0.007795036917276649,0.5285548900719732,0.43149740691296756
Static Model,CART,4,4,0.035240464344941956,0.728051391862955,0.9946363642565268,0.06722689075630252,0.8613792741450689,0.15942985241456484,0.0053636357434732485,0.49362247600220144,0.43190578394569457
Updated Model,CART,4,4,0.02081003851410113,0.7173447537473233,0.9909639650087433,0.04044672502263809,0.8541906894414358,0.12119321792612896,0.009036034991256733,0.31733685988001525,0.4615577810909599
Static Model,CART,4,-1,0.04757523984754895,0.7259358288770054,0.9937037681317606,0.08929819512395674,0.8598767535576619,0.18481888051109935,0.0062962318682393175,0.49362247600220144,0.41977599693927914
Updated Model,CART,4,-1,0.03401518416603123,0.6858288770053476,0.9915844640457333,0.06481569222022174,0.838771705666785,0.15151061279524614,0.008415535954266692,0.42294587497599423,0.44652759400196373
Static Model,CART,6,4,0.06534994697773065,0.7207602339181286,0.9938245707385956,0.11983471074380166,0.8573720830213086,0.2158502467382329,0.0061754292614043345,0.5000446559861302,0.2903049001470208
Updated Model,CART,6,4,0.058180535966149506,0.7236842105263158,0.9930059554263962,0.1077023498694517,0.8584236715738605,0.20393672476977442,0.006994044573603749,0.5254594988655299,0.28283779602497816
Static Model,CART,6,5,0.033377700419780894,0.6791666666666667,0.9918181104994236,0.06362837903776714,0.8355564000982741,0.14936978143748778,0.008181889500576441,0.5000446559861302,0.2698686718940735
Updated Model,CART,6,5,0.043379811703015136,0.7583333333333333,0.9930562661591251,0.082065156126705,0.8757428563629043,0.18034533271987796,0.006943733840874827,0.332656861981377,0.2935381941497326
Static Model,CART,6,6,0.03809987029831388,0.7078313253012049,0.9948580725702474,0.07230769230769231,0.8513853397177649,0.1634534650277132,0.005141927429752574,0.5000446559861302,0.27091100811958313
Updated Model,CART,6,6,0.02900937420825944,0.6897590361445783,0.993376037765453,0.055677121322635546,0.8416105267895992,0.14056813586511793,0.00662396223454693,0.2420942068565637,0.2903656018897891
Static Model,CART,6,-1,0.04489117935176115,0.7045454545454546,0.9935002512694222,0.08440440440440442,0.8490843144695971,0.17678605605037348,0.006499748730577783,0.5000446559861302,0.2770281933868925
Updated Model,CART,6,-1,0.043883354172548704,0.7272727272727273,0.9931460864503249,0.0827722621628818,0.8602659589318731,0.17758154140928178,0.006853913549675169,0.36673685590115684,0.28891386402149993
Static Model,CART,8,5,0.06489775223931046,0.7370441458733206,0.9935534044164296,0.11929170549860206,0.8653747929760681,0.21750726411988242,0.006446595583570391,0.505896246060729,0.20515981293283403
Updated Model,CART,8,5,0.0725702737460959,0.7581573896353166,0.994117339409278,0.13246143527833668,0.8762072924606966,0.23344051067292626,0.005882660590721905,0.5038826770614833,0.20916975592263043
Static Model,CART,8,6,0.05067660867163767,0.7224409448818898,0.9920230485689012,0.09470967741935482,0.8573098941417819,0.18999735258159775,0.007976951431098741,0.505896246060729,0.1918542308267206
Updated Model,CART,8,6,0.04449755320359622,0.7696850393700787,0.9903210108989533,0.08413125336202258,0.8800667792632544,0.1836353623395583,0.00967898910104669,0.37589808995835483,0.19652493204921484
