Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,NN,4,3,0.1332642844812705,0.750242954324587,0.9969995474876469,0.22632659044268547,0.8976180018330577,0.3154210369224212,0.003022659113361927,29.43064552685246,1.9098242889158428
Updated Model,NN,4,3,0.1565121412803532,0.6890184645286687,0.997645912494571,0.2550818492534629,0.922115160403198,0.3276802025664972,0.002629344619425856,2.21807251800783,1.9597678100690246
Static Model,NN,4,4,0.0810108644307983,0.734475374732334,0.9977175413343884,0.14592639863858753,0.9084699878608369,0.24345328291313284,0.002450058461229473,29.43064552685246,1.920425385935232
Updated Model,NN,4,4,0.10331557134399053,0.7473233404710921,0.9982109844531308,0.18153446033810142,0.9260780061587472,0.27745644006133485,0.0019902860233785135,18.666027734987438,1.9561222118791193
Static Model,NN,4,-1,0.11119976064625511,0.7453208556149733,0.9973585444110177,0.19352599149527033,0.9000298585215214,0.2872577648203166,0.0027363587872956973,29.43064552685246,1.9151248374255374
Updated Model,NN,4,-1,0.13378856853818918,0.7072192513368984,0.9979284484738509,0.22501063377286262,0.9247626063872527,0.3070329695969828,0.002309815321402183,10.442050126497634,1.957945010974072
Static Model,NN,6,4,0.12048463091765761,0.7850877192982456,0.9965319703388386,0.2089087726123322,0.9036800163167968,0.30674038188043784,0.0032323029276302697,40.824560459004715,1.338054094929248
Updated Model,NN,6,4,0.16297662976629768,0.7748538011695907,0.9975475649605359,0.2693089430894309,0.9059827176254317,0.35468693542479557,0.0024170045153182333,34.984427893999964,1.3042851111385971
Static Model,NN,6,5,0.10140449438202247,0.7520833333333333,0.9971706608272107,0.1787128712871287,0.903000468159602,0.2755206479538848,0.0027186453089306914,40.824560459004715,1.3798520672135055
Updated Model,NN,6,5,0.16248880931065354,0.75625,0.9983047841243203,0.2675018422991894,0.8989277568703692,0.3500676777585725,0.0016959673950645404,22.47843949496746,1.354122910182923
Static Model,NN,6,6,0.08227848101265822,0.7439759036144579,0.9975782630347434,0.14817036592681462,0.9079553496060018,0.24691287367658846,0.002412202562933025,40.824560459004715,1.306139845168218
Updated Model,NN,6,6,0.09763851044504995,0.6475903614457831,0.9982058681074296,0.1696921862667719,0.8796200068360582,0.25099744006166935,0.0019029435416671433,30.6994203471113,1.3242742149159312
Static Model,NN,6,-1,0.10391142571921227,0.7653743315508021,0.9970936314002642,0.18298042349180985,0.9033026749540093,0.28135930196657344,0.002787716933164665,40.824560459004715,1.3413486691036571
Updated Model,NN,6,-1,0.1441207075962539,0.7406417112299465,0.998019405730762,0.24128919860627174,0.8973363095717825,0.32617554841247964,0.002005305150683307,29.387429245359574,1.3275607454124838
Static Model,NN,8,5,0.13639455782312926,0.7696737044145874,0.9969768081734192,0.2317249349898873,0.8999680965241041,0.32323422701252635,0.0028946894409149935,42.866149474168196,0.9519060680177063
Updated Model,NN,8,5,0.14167862266857964,0.7581573896353166,0.9971359833730135,0.2387428226050166,0.8971801032388504,0.3269868909732572,0.002725000199847847,19.227199780056253,0.9406788600608706
Static Model,NN,8,6,0.15475704369130258,0.7460629921259843,0.9974998124006577,0.2563408860331417,0.9210616800527843,0.33909391877942235,0.0024429811564254476,42.866149474168196,0.9604291550349444
Updated Model,NN,8,6,0.1560369033293221,0.765748031496063,0.9974725252235843,0.25924691769410196,0.9016026973018149,0.34497520711359075,0.002382215272548846,29.73158781300299,0.9668422539252788
